"DATE ADDED TO CATALOG","PUBMEDID","FIRST AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE/TRAIT","INITIAL SAMPLE SIZE","REPLICATION SAMPLE SIZE","REGION","CHR_ID","CHR_POS","REPORTED GENE(S)","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST SNP-RISK ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK ALLELE FREQUENCY","P-VALUE","PVALUE_MLOG","P-VALUE (TEXT)","OR or BETA","95% CI (TEXT)","PLATFORM [SNPS PASSING QC]","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY ACCESSION","GENOTYPING TECHNOLOGY"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (critical illness vs population)","133 African ancestry cases, 2,610 African ancestry controls, 304 East Asian ancestry cases, 2,450 East Asian ancestry controls, 5,101 European ancestry cases, 1,383,241 European ancestry controls, 641 Hispanic or Latin American cases, 95,479 Hispanic or Latin American controls",NA,"3p21.31","3",45823240,NA,"SLC6A20 - LZTFL1","ENSG00000163817","ENSG00000163818",NA,26649,76,"rs10490770-C","rs10490770",0,10490770,"intron_variant",1,"0.07517",2e-61,60.698970004336,NA,1.8848156,"[1.7483625776346177-2.031918295499278]","Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095123","Genome-wide genotyping array"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (critical illness vs population)","133 African ancestry cases, 2,610 African ancestry controls, 304 East Asian ancestry cases, 2,450 East Asian ancestry controls, 5,101 European ancestry cases, 1,383,241 European ancestry controls, 641 Hispanic or Latin American cases, 95,479 Hispanic or Latin American controls",NA,"12q24.13","12",112919388,NA,"OAS1",NA,NA,"ENSG00000089127",NA,NA,"rs10774671-A","rs10774671",0,10774671,"splice_acceptor_variant",0,"0.6518",4e-13,12.397940008672,NA,1.1998901,"[1.1422351034880305-1.2604553442434507]","Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095123","Genome-wide genotyping array"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (critical illness vs population)","133 African ancestry cases, 2,610 African ancestry controls, 304 East Asian ancestry cases, 2,450 East Asian ancestry controls, 5,101 European ancestry cases, 1,383,241 European ancestry controls, 641 Hispanic or Latin American cases, 95,479 Hispanic or Latin American controls",NA,"17q21.33","17",49863303,NA,"TAC4-AS1 - RNU6-1313P","ENSG00000204584","ENSG00000199492",NA,14466,102772,"rs77534576-T","rs77534576",0,77534576,"intergenic_variant",1,"0.03275",4e-09,8.39794000867204,NA,1.4459405,"[1.2784125078885984-1.635422073558583]","Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095123","Genome-wide genotyping array"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (critical illness vs population)","133 African ancestry cases, 2,610 African ancestry controls, 304 East Asian ancestry cases, 2,450 East Asian ancestry controls, 5,101 European ancestry cases, 1,383,241 European ancestry controls, 641 Hispanic or Latin American cases, 95,479 Hispanic or Latin American controls",NA,"19p13.3","19",4719431,NA,"DPP9",NA,NA,"ENSG00000142002",NA,NA,"rs2109069-A","rs2109069",0,2109069,"intron_variant",0,"0.3158",1e-21,21,NA,1.2595191,"[1.2014454336815512-1.3203998930516965]","Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095123","Genome-wide genotyping array"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (critical illness vs population)","133 African ancestry cases, 2,610 African ancestry controls, 304 East Asian ancestry cases, 2,450 East Asian ancestry controls, 5,101 European ancestry cases, 1,383,241 European ancestry controls, 641 Hispanic or Latin American cases, 95,479 Hispanic or Latin American controls",NA,"19p13.2","19",10317045,NA,"RAVER1",NA,NA,"ENSG00000161847",NA,NA,"rs74956615-A","rs74956615",0,74956615,"3_prime_UTR_variant",0,"0.04816",1e-11,11,NA,1.4339889,"[1.2926896399458667-1.5907330695298332]","Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095123","Genome-wide genotyping array"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (critical illness vs population)","133 African ancestry cases, 2,610 African ancestry controls, 304 East Asian ancestry cases, 2,450 East Asian ancestry controls, 5,101 European ancestry cases, 1,383,241 European ancestry controls, 641 Hispanic or Latin American cases, 95,479 Hispanic or Latin American controls",NA,"21q22.11","21",33242905,NA,"IFNAR2-IL10RB, IFNAR2",NA,NA,"ENSG00000249624, ENSG00000159110",NA,NA,"rs13050728-C","rs13050728",0,13050728,"intron_variant",0,"0.6617",1e-16,16,NA,0.81885356,"[0.7811041370023486-0.8584273728086177]","Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095123","Genome-wide genotyping array"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (hospitalized vs population)","790 African ancestry cases, 20,582 African ancestry controls, 60 Middle Eastern ancestry cases, 13,360 Middle Eastern ancestry controls, 1,414 East Asian ancestry cases, 15,499 East Asian ancestry controls, 9,986 European ancestry cases, 1,877,672 European ancestry controls, 186 South Asian ancestry cases, 43,280 South Asian ancestry controls, 1,678 Hispanic or Latin American cases, 100,316 Hispanic or Latin American controls",NA,"3p21.31","3",45823240,NA,"SLC6A20 - LZTFL1","ENSG00000163817","ENSG00000163818",NA,26649,76,"rs10490770-C","rs10490770",0,10490770,"intron_variant",1,"0.08141",1e-73,73,NA,1.648985,"[1.5622524842496601-1.740532881367777]","Affymetrix, Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095124","Genome-wide genotyping array, Genome-wide sequencing"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (hospitalized vs population)","790 African ancestry cases, 20,582 African ancestry controls, 60 Middle Eastern ancestry cases, 13,360 Middle Eastern ancestry controls, 1,414 East Asian ancestry cases, 15,499 East Asian ancestry controls, 9,986 European ancestry cases, 1,877,672 European ancestry controls, 186 South Asian ancestry cases, 43,280 South Asian ancestry controls, 1,678 Hispanic or Latin American cases, 100,316 Hispanic or Latin American controls",NA,"6p21.1","6",41534945,NA,"FOXP4-AS1",NA,NA,"ENSG00000234753",NA,NA,"rs1886814-C","rs1886814",0,1886814,"intron_variant",0,"0.04242",1e-09,9,NA,1.2618514,"[1.1708908156456612-1.35987823139442]","Affymetrix, Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095124","Genome-wide genotyping array, Genome-wide sequencing"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (hospitalized vs population)","790 African ancestry cases, 20,582 African ancestry controls, 60 Middle Eastern ancestry cases, 13,360 Middle Eastern ancestry controls, 1,414 East Asian ancestry cases, 15,499 East Asian ancestry controls, 9,986 European ancestry cases, 1,877,672 European ancestry controls, 186 South Asian ancestry cases, 43,280 South Asian ancestry controls, 1,678 Hispanic or Latin American cases, 100,316 Hispanic or Latin American controls",NA,"8q24.13","8",124324323,NA,"TMEM65",NA,NA,"ENSG00000164983",NA,NA,"rs72711165-C","rs72711165",0,72711165,"intron_variant",0,"0.01337",2e-09,8.69897000433602,NA,1.369547,"[1.2355706893674907-1.5180506428830653]","Affymetrix, Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095124","Genome-wide genotyping array, Genome-wide sequencing"
"2022-03-14","34237774","COVID-19 Host Genetics Initiative","2021-07-08","Nature","www.ncbi.nlm.nih.gov/pubmed/34237774","Mapping the human genetic architecture of COVID-19.","COVID-19 (hospitalized vs population)","790 African ancestry cases, 20,582 African ancestry controls, 60 Middle Eastern ancestry cases, 13,360 Middle Eastern ancestry controls, 1,414 East Asian ancestry cases, 15,499 East Asian ancestry controls, 9,986 European ancestry cases, 1,877,672 European ancestry controls, 186 South Asian ancestry cases, 43,280 South Asian ancestry controls, 1,678 Hispanic or Latin American cases, 100,316 Hispanic or Latin American controls",NA,"9q34.2","9",133274084,NA,"ABO",NA,NA,"ENSG00000175164",NA,NA,"rs912805253-T","rs912805253",1,529565,"intron_variant",0,"0.6547",5e-10,9.30102999566398,NA,0.90225327,"[0.8734213443494576-0.932036967857528]","Affymetrix, Illumina [NR] (imputed)","N","COVID-19","http://purl.obolibrary.org/obo/MONDO_0100096","GCST90095124","Genome-wide genotyping array, Genome-wide sequencing"
